created_at,context,user_id,article_id,group_num,hierarchy
10:00.0,blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin,alossmana,10,1,1
59:00.0,est phasellus sit amet erat nulla tempus vivamus in felis eu,tkesterton0,43,1,1
24:00.0,maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat,rsuddock6,7,2,1
13:00.0,id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed,zdillistone4,79,5,2
40:00.0,eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum,kohoolahan1,92,2,2
40:00.0,massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet,prenhardj,32,5,2
19:00.0,in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec,hantonsen7,72,3,1
54:00.0,eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut,dbohey2,38,3,2
17:00.0,id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio,zdillistone4,82,5,1
28:00.0,curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac,pyork9,61,5,2
51:00.0,feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl,pfallowsi,63,4,2
56:00.0,at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam,hbladge8,28,4,2
04:00.0,molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis,arealf,50,1,1
35:00.0,ullamcorper augue a suscipit nulla elit ac nulla sed vel,mhallgalleye,88,5,2
22:00.0,et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna,pyork9,75,5,2
35:00.0,nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem,hantonsen7,51,3,2
25:00.0,in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper,mstannah3,67,4,2
34:00.0,faucibus cursus urna ut tellus nulla ut erat id mauris,hantonsen7,79,3,2
11:00.0,felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque,alossmana,53,1,1
03:00.0,viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum,bswinleyg,67,2,1
53:00.0,amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum,rsuddock6,3,2,2
02:00.0,tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros,arealf,37,1,2
02:00.0,nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu,hbladge8,59,4,2
25:00.0,pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante,arealf,73,1,2
21:00.0,sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque,zdillistone4,96,5,1
34:00.0,sem praesent id massa id nisl venenatis lacinia aenean sit,mstannah3,76,4,2
25:00.0,nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in,dspreadd,69,4,1
37:00.0,praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus,dgillison5,33,1,1
30:00.0,pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla,mhallgalleye,7,5,1
20:00.0,lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus,arealf,62,1,1
48:00.0,nunc rhoncus dui vel sem sed sagittis nam congue risus semper,hbladge8,36,4,2
33:00.0,interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at,rsuddock6,90,2,2
37:00.0,tortor risus dapibus augue vel accumsan tellus nisi eu orci,mhallgalleye,31,5,2
55:00.0,lacinia erat vestibulum sed magna at nunc commodo placerat praesent,pyork9,21,5,1
45:00.0,proin at turpis a pede posuere nonummy integer non velit,mstannah3,12,4,1
06:00.0,sed vel enim sit amet nunc viverra dapibus nulla suscipit,hbladge8,27,4,1
16:00.0,leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu,prenhardj,4,5,1
10:00.0,mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit,bswinleyg,13,2,2
37:00.0,nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt,prenhardj,52,5,1
11:00.0,justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla,bswinleyg,76,2,2
14:00.0,in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi,hantonsen7,36,3,2
05:00.0,maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus,dspreadd,83,4,2
41:00.0,integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices,kohoolahan1,94,2,1
32:00.0,nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede,dgillison5,30,1,1
57:00.0,nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat,blerouxb,37,2,1
32:00.0,lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque,kohoolahan1,60,2,2
21:00.0,quisque arcu libero rutrum ac lobortis vel dapibus at diam nam,wferrarelloc,87,3,1
17:00.0,rhoncus sed vestibulum sit amet cursus id turpis integer aliquet,ochettleh,52,3,1
23:00.0,iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum,dbohey2,52,3,1
39:00.0,congue risus semper porta volutpat quam pede lobortis ligula sit,alossmana,13,1,2
21:00.0,eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget,wferrarelloc,90,3,2
15:00.0,eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus,ochettleh,3,3,1
36:00.0,vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,alossmana,40,1,2
16:00.0,id ornare imperdiet sapien urna pretium nisl ut volutpat sapien,dgillison5,23,1,2
52:00.0,magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum,blerouxb,12,2,1
44:00.0,luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat,pyork9,59,5,1
20:00.0,lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt,rsuddock6,26,2,2
40:00.0,habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo,mhallgalleye,98,5,1
34:00.0,tellus in sagittis dui vel nisl duis ac nibh fusce,dgillison5,78,1,2
15:00.0,malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim,ochettleh,100,3,2
07:00.0,turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante,wferrarelloc,22,3,1
09:00.0,interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing,dspreadd,88,4,1
01:00.0,a odio in hac habitasse platea dictumst maecenas ut massa,mstannah3,96,4,2
13:00.0,pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien,kohoolahan1,60,2,1
